id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_bulan,nama_bulan,rata_rata_harga_produsen,satuan,tahun
210,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6,JUNI,17500,RUPIAH/KILOGRAM,2021
211,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7,JULI,17500,RUPIAH/KILOGRAM,2021
212,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8,AGUSTUS,17500,RUPIAH/KILOGRAM,2021
213,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9,SEPTEMBER,19000,RUPIAH/KILOGRAM,2021
214,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10,OKTOBER,19000,RUPIAH/KILOGRAM,2021
215,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11,NOVEMBER,19000,RUPIAH/KILOGRAM,2021
216,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12,DESEMBER,17000,RUPIAH/KILOGRAM,2021
217,32,JAWA BARAT,3271,KOTA BOGOR,1,JANUARI,0,RUPIAH/KILOGRAM,2021
218,32,JAWA BARAT,3271,KOTA BOGOR,2,FEBRUARI,0,RUPIAH/KILOGRAM,2021
219,32,JAWA BARAT,3271,KOTA BOGOR,3,MARET,0,RUPIAH/KILOGRAM,2021
220,32,JAWA BARAT,3271,KOTA BOGOR,4,APRIL,0,RUPIAH/KILOGRAM,2021
221,32,JAWA BARAT,3271,KOTA BOGOR,5,MEI,0,RUPIAH/KILOGRAM,2021
222,32,JAWA BARAT,3271,KOTA BOGOR,6,JUNI,0,RUPIAH/KILOGRAM,2021
223,32,JAWA BARAT,3271,KOTA BOGOR,7,JULI,0,RUPIAH/KILOGRAM,2021
224,32,JAWA BARAT,3271,KOTA BOGOR,8,AGUSTUS,0,RUPIAH/KILOGRAM,2021
225,32,JAWA BARAT,3271,KOTA BOGOR,9,SEPTEMBER,0,RUPIAH/KILOGRAM,2021
226,32,JAWA BARAT,3271,KOTA BOGOR,10,OKTOBER,0,RUPIAH/KILOGRAM,2021
227,32,JAWA BARAT,3271,KOTA BOGOR,11,NOVEMBER,0,RUPIAH/KILOGRAM,2021
228,32,JAWA BARAT,3271,KOTA BOGOR,12,DESEMBER,0,RUPIAH/KILOGRAM,2021
229,32,JAWA BARAT,3272,KOTA SUKABUMI,1,JANUARI,0,RUPIAH/KILOGRAM,2021
230,32,JAWA BARAT,3272,KOTA SUKABUMI,2,FEBRUARI,0,RUPIAH/KILOGRAM,2021
